Frame Number, Sedan, SUV, Total
593, 2, 3, 5
594, 4, 1, 5
595, 3, 2, 5
596, 5, 0, 5
597, 3, 2, 5
598, 5, 0, 5
599, 5, 0, 5
600, 5, 0, 5
601, 4, 1, 5
602, 4, 2, 6
603, 5, 1, 6
604, 5, 1, 6
605, 3, 3, 6
606, 4, 2, 6
607, 3, 2, 5
608, 4, 1, 5
609, 5, 0, 5
610, 4, 1, 5
611, 4, 2, 6
612, 3, 2, 5
613, 3, 3, 6
614, 5, 0, 5
615, 5, 0, 5
616, 4, 1, 5
617, 5, 0, 5
618, 5, 0, 5
619, 4, 1, 5
620, 5, 0, 5
621, 5, 0, 5
622, 5, 0, 5
623, 4, 1, 5
624, 4, 1, 5
625, 5, 0, 5
626, 4, 1, 5
627, 6, 0, 6
628, 5, 0, 5
629, 5, 0, 5
630, 2, 3, 5
631, 2, 2, 4
632, 4, 0, 4
633, 4, 0, 4
634, 3, 1, 4
635, 3, 1, 4
636, 4, 0, 4
637, 4, 0, 4
638, 4, 0, 4
639, 4, 0, 4
640, 4, 0, 4
641, 4, 0, 4
642, 3, 1, 4
643, 3, 1, 4
644, 3, 1, 4
645, 4, 0, 4
646, 4, 0, 4
647, 4, 0, 4
648, 2, 2, 4
649, 3, 1, 4
650, 3, 1, 4
651, 3, 1, 4
652, 3, 1, 4
653, 3, 1, 4
654, 3, 1, 4
655, 3, 2, 5
656, 1, 3, 4
657, 4, 0, 4
658, 3, 1, 4
659, 3, 1, 4
660, 3, 1, 4
661, 3, 1, 4
662, 5, 0, 5
663, 4, 1, 5
664, 3, 2, 5
665, 4, 1, 5
666, 3, 2, 5
667, 5, 0, 5
668, 4, 1, 5
669, 3, 2, 5
670, 4, 1, 5
671, 4, 1, 5
672, 4, 1, 5
673, 5, 0, 5
674, 4, 1, 5
675, 4, 1, 5
676, 4, 1, 5
677, 5, 0, 5
678, 5, 0, 5
679, 3, 2, 5
680, 4, 1, 5
681, 4, 1, 5
682, 4, 1, 5
683, 4, 1, 5
684, 4, 1, 5
685, 3, 2, 5
686, 4, 1, 5
687, 4, 1, 5
688, 3, 2, 5
689, 3, 2, 5
690, 3, 1, 4
691, 2, 2, 4
692, 3, 1, 4
693, 3, 2, 5
694, 3, 2, 5
695, 3, 2, 5
696, 5, 0, 5
697, 4, 1, 5
698, 3, 2, 5
699, 2, 4, 6
700, 2, 4, 6
701, 4, 2, 6
702, 2, 4, 6
703, 2, 4, 6
704, 3, 3, 6
705, 3, 3, 6
706, 4, 2, 6
707, 3, 3, 6
708, 5, 1, 6
709, 2, 4, 6
710, 2, 4, 6
711, 4, 2, 6
712, 2, 3, 5
713, 2, 3, 5
714, 3, 2, 5
715, 1, 5, 6
716, 2, 2, 4
717, 1, 3, 4
718, 1, 3, 4
719, 1, 3, 4
720, 2, 2, 4
721, 1, 3, 4
722, 3, 1, 4
723, 3, 1, 4
724, 4, 0, 4
725, 3, 1, 4
726, 1, 3, 4
727, 1, 3, 4
728, 4, 0, 4
729, 2, 3, 5
730, 4, 0, 4
